VALD_index,blend_RV_factor
32915,30.684071353837748
32916,34.588808561488555
32917,37.523599006400524
32918,37.02127982148616
32919,42.78569483136734
32920,45.401316749422676
32921,45.67023128197108
32922,45.61686025101469
32923,42.554956732209384
32924,42.759014053283394
32925,43.30334932320581
32926,42.49250372212751
32927,26.888141803316024
32928,24.853496063769622
32929,32.65740191528709
32930,4.16031936093318
32931,2.195491626734625
32932,-3.449758919535221
32933,-2.4670693899025053
32934,-4.531354916804768
32935,-5.041620849393976
32936,-3.2585774129431835
32937,-14.683249588265458
32938,-20.177702197116545
32939,-20.177702197116545
32940,-20.29400699722645
32941,-18.945091742772583
32942,-7.0072936909939445
32943,-34.018645058325525
32944,-33.86498424627799
32945,4.135870489482732
32946,13.988730384931763
32947,15.975090325890807
32948,20.947849741971503
32949,26.95977303301464
32950,7.517108659529554
32951,27.254820969213082
32952,26.96857914326011
32953,21.376161950906308
32954,22.724246515882037
32955,21.335666686440632
32956,7.455625729117918
32957,-0.328265729763593
32958,-22.77976013660883
32959,-23.723979925897062
32960,-25.37592986351029
32961,-36.42674829141583
32962,-40.111932734028784
32963,-42.56960668015822
32964,-13.205775205227713
32965,-35.15093242718246
32966,-36.00487046861643
32967,37.8487911665518
32968,37.90090185535734
32969,39.27680687917588
32970,33.697698851116954
32971,11.714678486393534
32972,28.083429164369754
32973,26.69566274894783
32974,12.685857106113689
32975,18.484085288445947
32976,12.307030278687021
32977,7.988203417653635
32978,4.180043481502119
32979,2.3062525169235277
32980,5.398472487560461
32981,-0.551452262196779
32982,-7.237199696344539
32983,0.4171151975301655
32984,27.926730745788497
32985,31.194172323645926
32986,32.423967165940816
32987,22.193731119412384
32988,5.039922086222927
32989,17.684676381094693
32990,6.023239810009587
32991,14.294108257305949
32992,3.9054295340258016
32993,0.5881744372580654
32994,-0.7083555390441731
32995,-1.6534226038030428
32996,-1.805565632928094
32997,-6.602479139161632
32998,-13.058946024118452
32999,-7.167919003756829
33000,-27.697061288273716
33001,-20.582026127147586
33002,-12.8307480333945
33003,-8.125875600267173
33004,8.130470232414314
33005,18.26290834079205
