VALD_index,blend_RV_factor
32915,-22.378596985911187
32916,-18.76366790677682
32917,-18.02605521517312
32918,-17.998516027881916
32919,-15.723967347528143
32920,-13.4194509211097
32921,-13.11086257958794
32922,-12.669757783532152
32923,-12.457540496040817
32924,-12.360787487932486
32925,-12.356480162576245
32926,-12.236294554655409
32927,-11.6767725731895
32928,-10.766456089149306
32929,-10.636788602325542
32930,-2.8124633000266193
32931,-1.9831023952347733
32932,-1.6500945814868968
32933,0.2793858256614316
32934,0.8789748003344491
32935,1.0874001453675535
32936,2.309765962376605
32937,4.282287194487538
32938,5.411856491923721
32939,5.411856491923721
32940,5.411856491923721
32941,5.411856491923721
32942,5.4651161227762595
32943,6.587435631282478
32944,6.506062590932307
32945,-1.7368537632022745
32946,-4.263003504561352
32947,-4.83403938421384
32948,-6.504556638421479
32949,-9.342600072966093
32950,-9.478370420802229
32951,-9.477664858532512
32952,-9.26934990952106
32953,-8.926048367963858
32954,-8.27241566746799
32955,-7.035218947624903
32956,-3.131980575556239
32957,-1.2189658080459846
32958,3.9093840921712446
32959,4.079591084582142
32960,5.400659524186444
32961,6.899240149136847
32962,7.774543444258487
32963,8.211971457117501
32964,7.703032225336907
32965,7.423269643714409
32966,6.51602056357474
32967,-13.810091371660354
32968,-13.868504927197153
32969,-14.252583528164875
32970,-13.377378120637253
32971,-12.69376980889062
32972,-12.41721327384832
32973,-12.109771981807206
32974,-11.694903556515934
32975,-10.44633700750631
32976,-8.99031092329244
32977,-7.932813923095811
32978,-6.836984968344644
32979,-6.640735830300714
32980,-6.5621216190501785
32981,-5.961049397486743
32982,3.810121056450727
32983,-1.8584501658077761
32984,-7.095106460572167
32985,-7.571121496573729
32986,-7.749494292726883
32987,-6.388472395566911
32988,-5.804571063603457
32989,-5.621832133137609
32990,-5.3287683007583
32991,-5.112099452506011
32992,-2.9505392422600956
32993,-2.324781305441947
32994,-1.394437594085384
32995,-0.4984074345508448
32996,-0.19184555527241084
32997,0.8809070342806086
32998,2.8033087626842894
32999,5.541437614840139
33000,5.462201779676248
33001,2.363273846872664
33002,0.784263626539151
33003,-0.0588144127788304
33004,-2.9313982721456315
33005,-5.024103619134829
33006,-8.98590216443554
33007,-13.298816954497127
33008,-14.746785528546825
33009,-14.788924569450835
33010,-14.4402979077836
33011,-11.80397740466501
33012,-3.998737729982529
33013,0.7243841162676802
33014,4.2339651197280075
33015,5.14226629831866
33016,5.541109863804909
33017,3.9054290987584506
33018,3.1873861699963704
33019,1.2093704811578994
33020,-0.9487498998303632
33021,-1.2359754676693844
33022,-1.4579803539288767
33023,-5.358313529294268
33024,-7.151108606864245
33025,-7.6121657065780015
33026,-7.709327752676218
33027,-6.872011077687415
33028,-6.496157468049831
33029,-5.832771307024106
33030,-3.7179283981280227
33031,-3.376460541342878
33032,-3.035795426773077
33033,-2.4505782054988594
33034,-2.0558907774418897
33035,-1.5952817988773396
33036,-1.3208916866620508
33037,-0.19968029664652565
33038,1.3945089276064921
33039,1.5164750326151637
33040,0.5964912341345582
33041,0.02296289440030795
33042,-0.2938046725616905
33043,-1.1043185094474663
33044,-1.290968125169051
33045,-2.312756912230843
33046,-2.7562076367827606
33047,-5.5044438662678665
33048,-5.773100924687115
33049,-5.3457678627098675
33050,-4.638656905581219
33051,-2.4082212074464677
33052,1.2759686623362418
33053,8.486003865964431
33054,11.296378813542947
33055,10.223810610203644
33056,10.19642079969187
33057,9.381440355915744
33058,1.145651349618724
33059,0.9616661048140394
33060,0.4644472137257647
33061,0.460473717949819
33062,0.40324100668520285
33063,0.40536810237627224
33064,0.4366244303295356
33065,0.5603002634162797
33066,0.6536611291854453
33067,0.19929264142981976
33068,-1.1150443852785832
33069,-1.8804700475381868
33070,-3.327544846349384
33071,-4.253755364419501
33072,-4.1528526710245615
33073,-4.026380238579117
33074,-2.852819641090676
33075,-0.2423808964292202
33076,-1.7327626902284479
33077,-2.14236877919274
33078,-2.3048134649379026
33079,-2.250100798331887
33080,-2.2747002120918243
33081,-2.2784613125910598
33082,-2.378856687469414
33083,-2.409353374674779
33084,-2.429763762559586
33085,-2.499728060693642
33086,-2.7633706381366228
33087,-2.7775895132729818
33088,-3.140452249341719
33089,-3.4655147240437714
33090,-4.7014174404369085
33091,-5.130170172051375
33092,-5.8386602245144985
33093,-5.865195133228747
33094,-6.083898860491009
33095,-6.235132545523058
33096,-6.248547678197993
33097,-6.3674584577904545
33098,-6.380060691351331
33099,-6.466357312584082
33100,-6.4714651786048885
33101,-6.500624688765179
33102,-6.411868251206475
33103,-6.0750575837232805
33104,-5.547459647236659
33105,-0.19502972167489824
33106,-0.23824525008648353
33107,-1.0233448359883568
33108,-1.6100707537611179
33109,-2.3603486677968406
33110,-2.585349953222171
33111,-2.6647825745532154
33112,-2.773626681865046
33113,-2.88511913322891
33114,-2.960843638787225
33115,-3.159035786697922
33116,-3.3024548245189274
33117,-3.3467946701786375
33118,-3.3053992114035218
33119,-2.4384534674242087
33120,-1.633927004491195
33121,0.20737876689618506
33122,0.49875641044439745
33123,0.044620853513884486
33124,-0.7698909879814769
33125,-1.5374794348897016
33126,-1.6184373414735267
33127,-1.7843355025844003
33128,-1.6401674431045445
33129,-1.511282078060352
33130,-1.1662776080919341
33131,-0.9133320234875651
33132,-0.5088699457083906
33133,-0.11448716577218318
33134,0.07383589469201804
33135,1.130245631792338
33136,1.1396887642782987
33137,1.3532079928192997
33138,1.5488024930808482
33139,1.5946007409216232
33140,0.9273366606229082
33141,0.47754806876202915
33142,-0.270445677306865
33143,-0.35725572821546836
33144,-0.421507712567541
33145,-0.16408874511862284
33146,-0.11594874799700845
33147,0.7587218947835986
33148,0.8066004250336413
33149,1.2683847187675112
33150,1.424472853350649
33151,1.7406905623872484
33152,2.098304431367282
33153,2.337890004284469
33154,4.167076677470697
33155,5.440165271385758
33156,5.471700291529621
33157,8.614274617411228
33158,8.714878936417433
33159,8.542847307270577
33160,5.3385751012702585
33161,0.5858678866934766
33162,0.5858678866934766
33163,-1.737693846744952
33164,-2.4047062482210166
33165,-2.4047062482210166
33166,-2.45589874858831
33167,-3.034602447299991
33168,-2.910118075859666
33169,-2.588039201898405
33170,-2.3819182830659655
33171,-2.1003027405028574
33172,-0.6497972736196026
33173,0.5595637442939702
33174,1.503844431512991
33175,2.5525389523775783
33176,2.7333041544777608
33177,3.026377046134371
33178,2.731444097611647
33179,2.500214553262664
33180,1.4460139365559714
33181,0.3776793930179544
33182,-0.8038876889028471
33183,-3.195308722851567
33184,-3.7804048936969012
33185,-4.877286399830803
33186,-8.311712815358026
33187,-8.55573198737932
33188,-8.566496834326234
33189,-8.542774928757108
33190,-8.515688904776772
33191,-7.655554478589592
